0,1,2,3,4,5
13,3,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
13,4,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
13,5,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
13,6,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
13,7,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
14,1,35,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
14,2,34,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
14,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
14,4,32,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
14,5,31,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
14,6,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",forward,2.0
14,7,29,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
14,8,28,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
14,9,27,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
14,10,26,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
15,1,35,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
15,2,34,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
15,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
15,4,32,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
15,5,31,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
15,6,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
15,7,29,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
16,1,40,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,2,39,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,3,38,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,4,37,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,5,36,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,6,35,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
16,7,34,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
16,8,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
16,9,32,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
16,10,31,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
16,11,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
